hour,posts,suspicious_posts,high_posts,avg_risk,suspicious_share,high_share,suspicious_share_zscore,high_share_zscore,burst_score,burst_label
2024-11-14 19:00:00+00:00,19652,1044,483,0.11908633498100109,0.05312436393242418,0.024577651129656014,1.0299708876287639,1.399388835193581,1.399388835193581,Normal
2024-11-14 20:00:00+00:00,19521,1031,462,0.11894339362611868,0.052814917268582555,0.023666820347318273,0.855505359599099,0.7628651566453684,0.855505359599099,Normal
2024-11-19 19:00:00+00:00,19963,1041,454,0.11554917761285591,0.0521464709712969,0.022742072834744276,0.4786364195122122,0.11661593028397226,0.4786364195122122,Normal
2024-11-19 20:00:00+00:00,20433,1002,451,0.1125531506338468,0.04903832036411687,0.022072138207801108,-1.2737338602168895,-0.3515602242748529,-0.3515602242748529,Normal
2024-11-20 19:00:00+00:00,20670,1077,450,0.11485063754124918,0.052104499274310594,0.02177068214804064,0.4549728447103062,-0.5622293450383101,0.4549728447103062,Normal
2024-11-20 20:00:00+00:00,19245,926,377,0.11415508365309184,0.048116393868537284,0.019589503767212264,-1.7935145256764187,-2.086520918684199,-1.7935145256764187,Normal
2024-11-21 19:00:00+00:00,20371,1077,491,0.11838647487393934,0.052869274949683374,0.024102891365175984,0.8861521321898557,1.0676084017985932,1.0676084017985932,Normal
2024-11-21 20:00:00+00:00,20585,1086,489,0.11822149554123361,0.0527568617925674,0.02375516152538256,0.8227737762229702,0.8246013789153709,0.8246013789153709,Normal
2024-11-22 19:00:00+00:00,20985,1066,448,0.11486867472779827,0.05079818918274958,0.021348582320705266,-0.2815226697842829,-0.8572089834300768,-0.2815226697842829,Normal
2024-11-22 20:00:00+00:00,18575,914,411,0.11679405046088732,0.04920592193808883,0.02212651413189771,-1.1792403641855809,-0.31356023140944445,-0.31356023140944445,Normal
